ENS_ID	Sym	scr.TNF.vs.veh.logR	RELA.TNF.vs.veh.logR	RELA.TNF.rep1vs3.logR	RELA.TNF.rep1vs2.logR	RELA.TNF.rep2vs3.logR
ENSG00000147140	NONO	0.018	-0.086	0.055	0.098	-0.042
ENSG00000182117	NOP10	-0.26	-0.07	-0.525	-0.138	-0.388
ENSG00000087269	NOP14	0.148	0.008	0.043	0.18	-0.137
ENSG00000249673	NOP14-AS1	0.245	-0.399	-0.314	-0.094	-0.22
ENSG00000048162	NOP16	-0.112	-0.29	0.008	-0.063	0.071
ENSG00000111641	NOP2	0.151	-0.238	-0.377	-0.579	0.202
ENSG00000101361	NOP56	-0.017	-0.002	-0.005	-0.136	0.131
ENSG00000055044	NOP58	-0.03	0.059	0.225	-0.077	0.302
ENSG00000196943	NOP9	-0.184	-0.249	-0.365	-0.223	-0.142
ENSG00000142546	NOSIP	0.358	-0.22	-0.906	-1.01	0.104
ENSG00000148400	NOTCH1	-0.012	0.772	0.888	1.203	-0.315
ENSG00000134250	NOTCH2	-0.055	0.474	0.873	0.955	-0.082
ENSG00000074181	NOTCH3	-0.132	0.936	1.181	1.213	-0.032
ENSG00000214513	NOTO	0.489	0.143	0.168	0.133	0.035
ENSG00000170485	NPAS2	0.226	0.553	0.741	1.089	-0.348
ENSG00000149308	NPAT	-0.196	0.004	0.23	-0.208	0.438
ENSG00000141458	NPC1	0.002	0.609	0.744	1.242	-0.497
ENSG00000119655	NPC2	-0.118	-0.208	-0.116	0.313	-0.428
ENSG00000107281	NPDC1	0.105	0.199	0.713	0.47	0.243
ENSG00000141279	NPEPPS	-0.032	0.306	0.629	0.583	0.045
ENSG00000144061	NPHP1	-0.391	0.093	0	-2.132	2.132
ENSG00000182446	NPLOC4	0.038	0.243	0.37	0.591	-0.221
ENSG00000181163	NPM1	-0.128	-0.303	-0.188	-0.729	0.542
ENSG00000107833	NPM3	0.232	-0.104	-0.869	-0.679	-0.19
ENSG00000169418	NPR1	0.051	0.17	0.761	0.517	0.244
ENSG00000159899	NPR2	-0.323	1.343	1.276	1.557	-0.28
ENSG00000113389	NPR3	-0.359	-0.197	-0.833	-0.645	-0.188
ENSG00000114388	NPRL2	-0.036	-0.109	-0.647	-0.426	-0.221
ENSG00000103148	NPRL3	-0.156	1.279	1.754	2.527	-0.773
ENSG00000156642	NPTN	-0.022	0.174	0.141	0.078	0.063
ENSG00000221890	NPTXR	0	0.547	0.374	0.933	-0.558
ENSG00000181019	NQO1	0.084	-0.029	-0.358	-0.493	0.135
ENSG00000124588	NQO2	0.205	-0.112	-0.071	0.091	-0.162
ENSG00000174738	NR1D2	-0.218	-0.14	-0.037	-0.455	0.419
ENSG00000131408	NR1H2	0.332	-0.238	-0.419	-0.338	-0.081
ENSG00000025434	NR1H3	0.103	-0.082	-0.363	-0.136	-0.226
ENSG00000120798	NR2C1	-0.053	0.124	0.337	-0.12	0.457
ENSG00000177463	NR2C2	-0.201	0.481	0.649	0.803	-0.155
ENSG00000184162	NR2C2AP	-0.456	-0.437	-0.072	-0.672	0.6
ENSG00000185551	NR2F2	-0.577	0.428	0.91	0.987	-0.077
ENSG00000160113	NR2F6	0.215	-0.124	-0.298	-0.881	0.584
ENSG00000113580	NR3C1	0.215	0.099	0.413	0.055	0.358
ENSG00000213281	NRAS	-0.096	-0.11	-0.253	-0.473	0.22
ENSG00000248008	NRAV	-0.013	-0.28	-0.464	-0.023	-0.441
ENSG00000148572	NRBF2	-0.268	-0.016	0.066	-0.137	0.203
ENSG00000115216	NRBP1	-0.092	-0.179	-0.126	-0.12	-0.007
ENSG00000185189	NRBP2	0.202	0.215	0.792	0.732	0.06
ENSG00000091129	NRCAM	-0.083	0.528	0.928	0.765	0.163
ENSG00000078618	NRD1	-0.046	0.502	1.113	1.01	0.104
ENSG00000134986	NREP	-0.005	0.039	-0.467	0	-0.467
ENSG00000106459	NRF1	0.014	0.014	-0.189	0.029	-0.218
ENSG00000180530	NRIP1	-0.512	-0.166	0.34	-0.04	0.38
ENSG00000137404	NRM	0.494	0.248	-0.559	0.052	-0.611
ENSG00000124785	NRN1	-0.207	-0.357	0.192	0.438	-0.245
ENSG00000099250	NRP1	-0.141	0.063	-0.082	0.049	-0.131
ENSG00000118257	NRP2	1.449	0.982	0.846	0.74	0.107
ENSG00000125841	NRSN2	-0.11	-0.067	-0.026	0.066	-0.092
ENSG00000225377	NRSN2-AS1	-0.546	0.268	-0.571	-0.326	-0.245
ENSG00000164346	NSA2	-0.189	-0.385	-0.182	-0.154	-0.028
ENSG00000165671	NSD1	-0.093	0.032	0.308	0.183	0.125
ENSG00000147383	NSDHL	0.098	-0.027	-0.081	0.153	-0.234
ENSG00000073969	NSF	-0.043	-0.022	-0.067	0.108	-0.176
ENSG00000088833	NSFL1C	0.022	0.083	0.676	0.564	0.113
ENSG00000117697	NSL1	-0.19	-0.25	-0.188	-0.509	0.321
ENSG00000035681	NSMAF	-0.108	0.174	0.143	0.111	0.032
ENSG00000169189	NSMCE1	0.087	-0.348	-0.518	-0.139	-0.379
ENSG00000156831	NSMCE2	-0.089	-0.452	-0.752	-0.787	0.035
ENSG00000107672	NSMCE4A	-0.166	-0.43	-0.34	-0.571	0.231
ENSG00000165802	NSMF	0.293	0.069	0.263	0.276	-0.013
ENSG00000126653	NSRP1	-0.088	0.316	0.52	0.886	-0.365
ENSG00000037474	NSUN2	0.065	0.171	0.253	0.036	0.217
ENSG00000178694	NSUN3	-0.317	-0.287	-0.296	-0.65	0.354
ENSG00000117481	NSUN4	0.019	-0.012	0.083	0.223	-0.141
ENSG00000130305	NSUN5	0.208	-0.101	-0.965	-0.865	-0.1
ENSG00000241058	NSUN6	-0.105	-0.287	-0.274	-0.504	0.23
ENSG00000125458	NT5C	0.147	-0.397	-0.406	-0.882	0.476
ENSG00000076685	NT5C2	-0.173	-0.304	-0.134	0.175	-0.309
ENSG00000122643	NT5C3A	-0.12	-0.206	-0.079	-0.953	0.873
ENSG00000141698	NT5C3B	-0.174	-0.198	-0.427	-0.222	-0.205
ENSG00000178425	NT5DC1	0.003	-0.002	0.037	0.276	-0.239
ENSG00000168268	NT5DC2	-0.081	0.096	0.075	0.744	-0.67
ENSG00000111696	NT5DC3	0.074	0.501	0.674	0.611	0.063
ENSG00000135318	NT5E	-0.275	0.051	-0.122	-0.708	0.586
ENSG00000205309	NT5M	0.25	-0.165	0	0	0
ENSG00000157045	NTAN1	0.047	-0.254	-0.56	-0.235	-0.324
ENSG00000065057	NTHL1	0.456	-0.39	-0.565	-1	0.435
ENSG00000148335	NTMT1	-0.026	-0.185	-0.6	-0.558	-0.042
ENSG00000074527	NTN4	-0.355	0.029	-0.402	-0.96	0.558
ENSG00000135778	NTPCR	-0.042	-0.122	-0.412	-0.166	-0.246
ENSG00000074590	NUAK1	0.126	0.023	0.331	0.654	-0.323
ENSG00000163545	NUAK2	1.628	0.974	-0.026	0.068	-0.094
ENSG00000013374	NUB1	0.107	-0.192	-0.384	-0.402	0.018
ENSG00000103274	NUBP1	0.015	-0.226	-0.481	-0.406	-0.076
ENSG00000095906	NUBP2	0.372	-0.338	-0.598	-0.272	-0.326
ENSG00000151413	NUBPL	-0.064	-0.098	-0.16	-0.298	0.138
ENSG00000104805	NUCB1	0.124	-0.071	0.039	-0.057	0.096
ENSG00000070081	NUCB2	-0.097	-0.185	0.128	-0.138	0.266
ENSG00000069275	NUCKS1	-0.161	-0.203	0.222	-0.046	0.268
ENSG00000090273	NUDC	0.092	-0.082	-0.196	-0.295	0.099
ENSG00000120526	NUDCD1	0.064	-0.077	-0.178	-0.434	0.257
ENSG00000170584	NUDCD2	0.134	-0.025	-0.142	-0.399	0.257
ENSG00000015676	NUDCD3	0.051	-0.107	-0.064	0.166	-0.23
ENSG00000106268	NUDT1	0.236	-0.425	0.371	-0.16	0.532
ENSG00000112874	NUDT12	-0.144	-0.312	-0.332	-0.631	0.298
ENSG00000166321	NUDT13	-0.344	-0.185	-0.259	-0.479	0.22
ENSG00000183828	NUDT14	0.158	-0.254	-0.653	-0.649	-0.003
ENSG00000136159	NUDT15	-0.106	-0.229	-0.179	-0.213	0.034
ENSG00000198585	NUDT16	-0.029	-0.121	-0.05	-0.007	-0.043
ENSG00000168101	NUDT16L1	0.191	-0.042	-0.428	-0.668	0.24
ENSG00000186364	NUDT17	0.359	0.012	-0.921	-0.515	-0.406
ENSG00000275074	NUDT18	-0.004	-0.414	-0.645	-1.126	0.481
ENSG00000213965	NUDT19	-0.097	0.33	0.559	0.508	0.051
ENSG00000164978	NUDT2	-0.088	-0.373	-1.097	-0.903	-0.194
ENSG00000167005	NUDT21	-0.215	-0.236	-0.033	-0.284	0.251
ENSG00000149761	NUDT22	-0.051	-0.277	-0.776	-0.685	-0.091
ENSG00000272325	NUDT3	-0.144	-0.274	-0.218	-0.366	0.147
ENSG00000173598	NUDT4	-0.224	-0.134	-0.027	-0.236	0.209
ENSG00000165609	NUDT5	-0.027	-0.329	0.047	-0.11	0.157
ENSG00000140876	NUDT7	-0.059	-0.344	0.056	0.263	-0.207
ENSG00000167799	NUDT8	0.005	-0.29	-0.169	-0.058	-0.112
ENSG00000170502	NUDT9	-0.263	0.191	0.447	0.35	0.098
ENSG00000108256	NUFIP2	-0.168	0.227	0.357	0.129	0.228
ENSG00000137497	NUMA1	-0.067	0.029	0.274	0.184	0.09
ENSG00000133961	NUMB	-0.181	0.519	0.402	0.948	-0.545
ENSG00000105245	NUMBL	-0.274	0.09	0.665	0.621	0.043
ENSG00000111581	NUP107	-0.192	-0.173	-0.112	-0.245	0.133
ENSG00000069248	NUP133	-0.057	-0.145	-0.141	-0.372	0.231
ENSG00000124789	NUP153	-0.14	0.446	0.561	0.571	-0.009
ENSG00000113569	NUP155	-0.053	-0.136	-0.134	-0.304	0.17
ENSG00000030066	NUP160	-0.155	0.299	0.505	0.557	-0.052
ENSG00000095319	NUP188	-0.09	0.426	0.64	0.928	-0.289
ENSG00000155561	NUP205	-0.099	-0.065	-0.037	0.025	-0.062
ENSG00000126883	NUP214	0.091	0.491	1.045	1.082	-0.037
ENSG00000163002	NUP35	-0.164	-0.172	-0.478	-0.79	0.312
ENSG00000075188	NUP37	-0.253	-0.189	-0.404	-0.881	0.478
ENSG00000120253	NUP43	-0.019	-0.284	-0.485	-0.212	-0.273
ENSG00000093000	NUP50	-0.102	-0.039	-0.045	-0.162	0.117
ENSG00000226328	NUP50-AS1	-0.143	0.058	-0.728	-0.135	-0.594
ENSG00000138750	NUP54	-0.073	-0.124	-0.241	-0.48	0.239
ENSG00000213024	NUP62	0.187	0.033	-0.087	0.132	-0.219
ENSG00000125450	NUP85	0.216	-0.187	-0.096	-0.214	0.117
ENSG00000108559	NUP88	0.035	-0.277	-0.089	-0.214	0.126
ENSG00000102900	NUP93	0.116	-0.234	-0.526	-0.43	-0.095
ENSG00000110713	NUP98	-0.064	0.141	0.069	0.221	-0.152
ENSG00000139496	NUPL1	0.041	0.036	-0.338	-0.475	0.136
ENSG00000136243	NUPL2	-0.065	-0.264	-0.332	-0.338	0.006
ENSG00000176046	NUPR1	0.166	-0.256	-0.362	-0.437	0.075
ENSG00000153989	NUS1	-0.122	0.835	0.917	1.219	-0.301
ENSG00000102898	NUTF2	0.04	-0.219	-0.65	0.261	-0.912
ENSG00000143748	NVL	-0.143	-0.111	0.137	0.053	0.084
ENSG00000162231	NXF1	0.093	0.328	0.272	0.55	-0.278
ENSG00000167693	NXN	0.099	-0.113	-0.518	-0.384	-0.134
ENSG00000144815	NXPE3	-0.159	0.12	0.206	0.564	-0.358
ENSG00000182379	NXPH4	0.025	0.335	-0.158	0.491	-0.649
ENSG00000132661	NXT1	0.488	0.001	-0.344	-0.547	0.203
ENSG00000101888	NXT2	-0.101	-0.215	-0.292	-0.553	0.261
ENSG00000184232	OAF	0.111	-0.04	0.117	-0.03	0.147
ENSG00000124596	OARD1	-0.385	-0.271	-0.424	-0.439	0.014
ENSG00000089127	OAS1	-0.203	-0.085	0.038	0.117	-0.079
ENSG00000135114	OASL	0.172	-0.195	-1.246	-0.781	-0.465
ENSG00000065154	OAT	-0.11	-0.078	-0.147	-0.336	0.189
ENSG00000104904	OAZ1	0.045	-0.155	-0.344	-0.127	-0.217
ENSG00000180304	OAZ2	0.165	-0.06	-0.287	-0.138	-0.149
ENSG00000107960	OBFC1	0.046	-0.343	-0.363	-0.658	0.295
ENSG00000124006	OBSL1	0.214	-0.201	0.352	0.234	0.118
ENSG00000099330	OCEL1	-0.192	0.049	1.424	1.335	0.089
ENSG00000109180	OCIAD1	-0.178	-0.022	-0.055	-0.318	0.263
ENSG00000122126	OCRL	-0.01	0.455	0.938	1.031	-0.093
ENSG00000115758	ODC1	-0.104	-0.179	-0.688	-0.484	-0.205
ENSG00000136811	ODF2	0.052	-0.206	-0.461	-0.305	-0.156
ENSG00000182950	ODF3L1	-0.705	-0.072	-0.933	0	-0.933
ENSG00000046651	OFD1	0.033	0.052	0.42	-0.077	0.497
ENSG00000105953	OGDH	0.021	0.589	0.792	0.997	-0.205
ENSG00000087263	OGFOD1	0.004	-0.249	-0.162	-0.214	0.052
ENSG00000181396	OGFOD3	0.298	-0.309	-0.385	-0.106	-0.279
ENSG00000060491	OGFR	0.279	-0.371	-0.358	-0.433	0.075
ENSG00000119900	OGFRL1	0.332	0.073	0.354	-0.351	0.705
ENSG00000114026	OGG1	-0.182	-0.151	-0.572	-0.261	-0.311
ENSG00000147162	OGT	-0.004	0.336	0.443	0.195	0.248
ENSG00000247556	OIP5-AS1	-0.251	-0.056	0.297	0.262	0.034
ENSG00000138430	OLA1	-0.104	-0.217	-0.207	-0.117	-0.09
ENSG00000152463	OLAH	-0.256	-0.012	-0.225	-0.539	0.314
ENSG00000105088	OLFM2	0.079	0.411	1.146	2.266	-1.121
ENSG00000116774	OLFML3	-0.121	-0.225	-0.63	-0.555	-0.075
ENSG00000235823	OLMALINC	0.084	0.456	0.447	0.789	-0.342
ENSG00000162600	OMA1	-0.263	-0.218	-0.61	-0.953	0.343
ENSG00000127083	OMD	-0.213	0.177	0.193	-1.551	1.744
ENSG00000198836	OPA1	-0.038	0.002	0.206	-0.074	0.28
ENSG00000125741	OPA3	0.17	-0.176	-0.228	0.097	-0.325
ENSG00000079482	OPHN1	-0.059	0.225	0.165	0.364	-0.199
ENSG00000178814	OPLAH	0.289	0.114	0.776	0.594	0.182
ENSG00000123240	OPTN	0.14	0.003	0.023	-0.184	0.207
ENSG00000225101	OR52K3P	0.224	0.096	-1.587	0.062	-1.649
ENSG00000189398	OR7E12P	-0.402	0.181	0.819	1.207	-0.388
ENSG00000183444	OR7E38P	-0.217	-0.533	-1.331	-0.554	-0.778
ENSG00000276045	ORAI1	0.009	-0.091	0.098	1.149	-1.052
ENSG00000160991	ORAI2	0.059	-0.135	-0.184	0.415	-0.599
ENSG00000175938	ORAI3	-0.014	-0.167	-0.33	-0.259	-0.071
ENSG00000115942	ORC2	-0.228	-0.316	-0.571	-0.627	0.056
ENSG00000135336	ORC3	-0.157	-0.111	0.184	0.003	0.181
ENSG00000115947	ORC4	-0.132	-0.128	-0.398	-0.148	-0.25
ENSG00000164815	ORC5	-0.158	-0.125	0.06	-0.178	0.238
ENSG00000128699	ORMDL1	-0.236	0.078	0.199	-0.122	0.321
ENSG00000123353	ORMDL2	-0.051	-0.018	-0.871	-0.323	-0.548
ENSG00000172057	ORMDL3	-0.094	-0.24	0.057	-0.011	0.068
ENSG00000135506	OS9	0.188	-0.189	-0.375	-0.264	-0.11
ENSG00000110048	OSBP	-0.122	0.642	0.972	1.301	-0.329
ENSG00000144909	OSBPL11	-0.203	0.527	0.758	0.844	-0.086
ENSG00000141447	OSBPL1A	0.132	-0.019	-0.238	-0.238	0
ENSG00000130703	OSBPL2	0.074	-0.134	-0.302	-0.164	-0.138
ENSG00000070882	OSBPL3	-0.162	-0.045	0.098	-0.337	0.435
ENSG00000021762	OSBPL5	0.101	-0.016	0.212	-0.185	0.397
ENSG00000091039	OSBPL8	-0.131	0.358	0.851	0.41	0.441
ENSG00000117859	OSBPL9	-0.007	-0.075	-0.181	-0.397	0.216
ENSG00000116885	OSCP1	0.18	-0.257	-0.873	-0.257	-0.616
ENSG00000132823	OSER1	0.787	0.4	-0.375	-0.821	0.446
ENSG00000223891	OSER1-AS1	0.024	-0.222	-0.38	-0.578	0.198
ENSG00000092094	OSGEP	0.058	-0.141	-0.226	-0.175	-0.051
ENSG00000128694	OSGEPL1	-0.201	-0.224	-0.357	-0.315	-0.042
ENSG00000140961	OSGIN1	-0.041	-0.192	-0.506	-0.724	0.218
ENSG00000164823	OSGIN2	0.007	-0.044	-0.224	-0.359	0.135
ENSG00000145623	OSMR	-0.026	0.744	0.957	1.049	-0.092
ENSG00000164920	OSR2	0.314	-0.552	0.017	-0.511	0.528
ENSG00000228474	OST4	-0.015	-0.102	-0.154	0.016	-0.171
ENSG00000198856	OSTC	-0.338	-0.235	-0.501	-0.38	-0.121
ENSG00000134996	OSTF1	-0.172	-0.02	-0.333	-0.169	-0.164
ENSG00000081087	OSTM1	-0.117	-0.059	0.066	-0.373	0.439
ENSG00000167770	OTUB1	0.027	0.093	-0.291	-0.023	-0.268
ENSG00000165312	OTUD1	-0.755	-0.251	0.102	0.307	-0.205
ENSG00000169914	OTUD3	-0.357	-0.081	-0.036	-0.404	0.368
ENSG00000164164	OTUD4	-0.251	0.58	0.904	0.895	0.009
ENSG00000068308	OTUD5	0.217	0.187	-0.093	-0.056	-0.037
ENSG00000155100	OTUD6B	-0.308	0.057	0.014	-0.791	0.805
ENSG00000253738	OTUD6B-AS1	0.097	-0.114	0.279	-0.425	0.704
ENSG00000264522	OTUD7B	-0.315	-0.11	0.21	0.415	-0.205
ENSG00000154124	OTULIN	-0.098	-0.145	0.006	-0.114	0.12
ENSG00000155463	OXA1L	-0.053	-0.149	-0.087	0.228	-0.315
ENSG00000083720	OXCT1	-0.036	0.022	-0.319	-0.069	-0.25
ENSG00000204237	OXLD1	0.182	-0.035	-0.649	-0.356	-0.292
ENSG00000154814	OXNAD1	-0.12	-0.334	-0.219	-0.179	-0.04
ENSG00000164830	OXR1	-0.037	-0.215	0.15	-0.34	0.49
ENSG00000151093	OXSM	-0.206	-0.188	-0.509	-0.713	0.204
ENSG00000172939	OXSR1	-0.082	0.278	0.576	0.299	0.277
ENSG00000099957	P2RX6	0.39	-0.318	-0.544	-0.519	-0.025
ENSG00000169313	P2RY12	-0.119	0.115	1.173	0.186	0.987
ENSG00000117385	P3H1	0.247	0.01	0.105	0.109	-0.004
ENSG00000110811	P3H3	-0.029	-0.147	-0.063	0	-0.063
ENSG00000141696	P3H4	-0.133	-0.089	-0.261	-0.05	-0.211
ENSG00000122884	P4HA1	-0.108	-0.067	0.081	-0.227	0.308
ENSG00000072682	P4HA2	0.027	-0.177	-0.681	-0.585	-0.096
ENSG00000185624	P4HB	0.156	0.104	0.25	0.388	-0.137
ENSG00000178467	P4HTM	0.108	-0.242	-0.431	-0.383	-0.047
ENSG00000170515	PA2G4	-0.015	-0.353	-0.324	-0.292	-0.032
ENSG00000175575	PAAF1	0.018	-0.042	0.283	0.44	-0.157
ENSG00000070756	PABPC1	-0.132	1.33	2.009	2.205	-0.196
ENSG00000090621	PABPC4	-0.135	0.693	1.112	1.267	-0.155
ENSG00000100836	PABPN1	-0.104	0.15	0.925	0.331	0.594
ENSG00000163138	PACRGL	0.044	-0.202	-0.493	-0.822	0.329
ENSG00000175115	PACS1	-0.035	0.744	0.792	1.31	-0.518
ENSG00000179364	PACS2	0.225	0.033	0.03	0.138	-0.108
ENSG00000100266	PACSIN2	0.159	-0.149	-0.258	-0.279	0.021
ENSG00000165912	PACSIN3	0.182	-0.36	-0.456	-0.561	0.104
ENSG00000006712	PAF1	0.119	-0.204	-0.356	-0.508	0.153
ENSG00000007168	PAFAH1B1	-0.142	0.05	0.415	0.231	0.184
ENSG00000168092	PAFAH1B2	-0.196	-0.291	-0.542	-0.506	-0.037
ENSG00000158006	PAFAH2	0.099	-0.239	-0.227	-0.122	-0.105
ENSG00000076641	PAG1	-0.34	-0.067	0.222	-0.193	0.415
ENSG00000128050	PAICS	0.005	0.004	0.513	0.5	0.013
ENSG00000226055	PAICSP1	-0.192	0.426	-0.187	0.718	-0.905
ENSG00000172239	PAIP1	-0.201	-0.131	-0.11	-0.449	0.339
ENSG00000120727	PAIP2	-0.184	-0.076	0.476	0.272	0.204
ENSG00000149269	PAK1	-0.199	-0.235	-0.241	0.072	-0.313
ENSG00000111845	PAK1IP1	0.062	-0.131	0.112	-0.417	0.529
ENSG00000180370	PAK2	-0.223	0.488	0.917	1.098	-0.182
ENSG00000083093	PALB2	-0.426	-0.392	0.055	-0.242	0.297
ENSG00000129116	PALLD	-0.045	0.672	0.807	0.991	-0.184
ENSG00000099864	PALM	0.212	-0.027	-0.21	-0.013	-0.197
ENSG00000099260	PALMD	-0.112	-0.041	0.146	-0.033	0.179
ENSG00000145730	PAM	-0.053	0.01	-0.147	-0.172	0.025
ENSG00000135473	PAN2	0.156	0.127	0.245	0.184	0.061
ENSG00000152520	PAN3	-0.345	0.267	0.592	0.074	0.518
ENSG00000152782	PANK1	-0.256	-0.193	-0.163	-0.004	-0.159
ENSG00000125779	PANK2	0.091	-0.25	-0.718	-0.798	0.08
ENSG00000120137	PANK3	-0.028	-0.042	0.053	-0.126	0.179
ENSG00000157881	PANK4	0.163	-0.005	-0.078	-0.057	-0.021
ENSG00000110218	PANX1	0.122	0.21	0.055	-0.281	0.335
ENSG00000148832	PAOX	0.449	-0.275	-0.196	-1	0.804
ENSG00000164329	PAPD4	-0.32	-0.112	-0.212	-0.126	-0.086
ENSG00000121274	PAPD5	-0.229	-0.089	0	-0.177	0.177
ENSG00000112941	PAPD7	-0.352	0.31	0.49	0.497	-0.007
ENSG00000090060	PAPOLA	-0.134	0.57	0.977	0.946	0.03
ENSG00000115421	PAPOLG	-0.308	-0.139	-0.054	-0.542	0.488
ENSG00000182752	PAPPA	0.108	0.687	0.659	0.989	-0.33
ENSG00000138801	PAPSS1	-0.13	-0.002	0.069	0.162	-0.093
ENSG00000198682	PAPSS2	-0.019	0.191	0.481	0.005	0.476
ENSG00000148498	PARD3	0.043	-0.159	-0.226	-0.273	0.047
ENSG00000227345	PARG	-0.138	-0.182	0.23	-0.015	0.245
ENSG00000116288	PARK7	-0.003	-0.27	-0.134	-0.129	-0.006
ENSG00000175193	PARL	-0.035	0.009	-0.073	0.088	-0.161
ENSG00000169116	PARM1	-0.066	-0.111	-0.712	-0.302	-0.41
ENSG00000140694	PARN	-0.162	-0.25	0.008	-0.044	0.052
ENSG00000143799	PARP1	0.053	-0.028	0.446	0.431	0.015
ENSG00000178685	PARP10	0.313	-0.364	-0.274	-0.612	0.338
ENSG00000111224	PARP11	-0.246	-0.077	-0.508	0.225	-0.733
ENSG00000173193	PARP14	-0.142	-0.081	0.044	-0.556	0.6
ENSG00000129484	PARP2	-0.364	0.038	0.742	0.585	0.157
ENSG00000041880	PARP3	0.03	-0.062	-0.035	0.072	-0.107
ENSG00000102699	PARP4	-0.133	-0.04	0.344	0.182	0.162
ENSG00000137817	PARP6	0.018	-0.168	0.037	0.17	-0.133
ENSG00000138496	PARP9	-0.086	-0.069	-0.222	-0.211	-0.011
ENSG00000162396	PARS2	-0.191	-0.277	-0.582	-0.16	-0.422
ENSG00000197702	PARVA	-0.073	0.16	0.555	0.578	-0.023
ENSG00000188677	PARVB	0.19	-0.198	-0.26	-0.011	-0.249
ENSG00000166889	PATL1	-0.134	0.468	0.545	0.736	-0.191
ENSG00000100105	PATZ1	0.2	-0.075	0.227	-0.055	0.282
ENSG00000135903	PAX3	0.04	-0.26	-0.533	-0.302	-0.23
ENSG00000159086	PAXBP1	0.153	0.174	0.867	0.047	0.819
ENSG00000273344	PAXIP1-AS1	0	-0.174	0.368	-0.243	0.611
ENSG00000214106	PAXIP1-AS2	0.115	0.325	0.016	0.065	-0.049
ENSG00000102390	PBDC1	-0.204	0.018	1.441	0.842	0.599
ENSG00000108187	PBLD	-0.078	0.199	-0.087	-0.015	-0.073
ENSG00000163939	PBRM1	-0.154	0.456	0.822	0.791	0.031
ENSG00000185630	PBX1	-0.141	0.025	0.253	0.441	-0.188
ENSG00000204304	PBX2	0.284	-0.023	-0.111	-0.013	-0.098
ENSG00000167081	PBX3	-0.054	-0.094	-0.331	-0.155	-0.175
ENSG00000163346	PBXIP1	0.161	-0.365	-0.251	-0.624	0.373
ENSG00000173599	PC	0.046	0.365	1.125	1.125	0.001
ENSG00000166228	PCBD1	0.008	-0.051	-0.05	0.134	-0.184
ENSG00000132570	PCBD2	-0.135	-0.182	-0.315	-0.238	-0.076
ENSG00000169564	PCBP1	-0.547	1.731	2.215	1.781	0.434
ENSG00000197111	PCBP2	-0.214	1.159	1.498	1.921	-0.423
ENSG00000090097	PCBP4	0.082	-0.199	-0.445	-0.232	-0.213
ENSG00000175198	PCCA	-0.049	0.02	0.065	0.328	-0.263
ENSG00000114054	PCCB	0.109	-0.079	-0.231	-0.241	0.011
ENSG00000189184	PCDH18	-0.211	-0.119	-0.161	0.025	-0.186
ENSG00000169851	PCDH7	-0.018	0.335	0.503	0.545	-0.042
ENSG00000253846	PCDHGA10	-0.048	0.372	0.622	0.908	-0.286
ENSG00000253873	PCDHGA11	-0.248	0.205	0.578	0.557	0.021
ENSG00000262576	PCDHGA4	0.087	0.299	0.181	0.655	-0.474
ENSG00000276547	PCDHGB5	-0.006	0.511	0.724	0.615	0.109
ENSG00000240184	PCDHGC3	0.042	0.343	0.597	0.462	0.134
ENSG00000132635	PCED1A	0.296	-0.01	-0.137	-0.407	0.27
ENSG00000165494	PCF11	-0.591	-0.106	0.325	-0.117	0.442
ENSG00000115289	PCGF1	-0.412	-0.422	-0.432	-0.417	-0.015
ENSG00000185619	PCGF3	-0.009	0.01	0.088	0.088	0
ENSG00000180628	PCGF5	-0.253	-0.142	-0.019	-0.282	0.263
ENSG00000156374	PCGF6	-0.066	-0.235	-0.343	-0.731	0.388
ENSG00000126226	PCID2	0.133	-0.113	-0.252	-0.202	-0.05
ENSG00000100982	PCIF1	0.257	0.773	0.969	1.4	-0.432
ENSG00000124253	PCK1	-0.353	0.089	0.498	0.662	-0.164
ENSG00000100889	PCK2	0.224	0.133	0.825	0.949	-0.124
ENSG00000078674	PCM1	0.097	0.164	0.346	-0.176	0.522
ENSG00000120265	PCMT1	-0.202	-0.115	0.165	-0.084	0.249
ENSG00000168300	PCMTD1	-0.216	-0.127	-0.216	-0.526	0.31
ENSG00000203880	PCMTD2	-0.047	0.12	0.11	-0.052	0.161
ENSG00000132646	PCNA	-0.318	-0.157	-0.213	-0.355	0.142
ENSG00000081154	PCNP	-0.374	0.258	0.447	0.071	0.376
ENSG00000160299	PCNT	0.139	0.196	0.652	0.47	0.182
ENSG00000100731	PCNX	0.054	0.49	0.735	0.885	-0.149
ENSG00000135749	PCNXL2	0.042	0.025	-0.447	-0.152	-0.295
ENSG00000197136	PCNXL3	0.013	0.803	0.71	1.454	-0.743
ENSG00000126773	PCNXL4	-0.163	0.06	0.214	0.214	0
ENSG00000106333	PCOLCE	-0.042	0.083	0.377	0.301	0.076
ENSG00000163710	PCOLCE2	0.023	-0.134	-0.214	-0.371	0.157
ENSG00000099139	PCSK5	0.351	0.031	-0.599	-0.237	-0.363
ENSG00000169174	PCSK9	0.257	0.464	0.839	1	-0.161
ENSG00000141179	PCTP	-0.176	-0.254	-0.833	-0.432	-0.4
ENSG00000116005	PCYOX1	-0.168	0.339	0.712	0.65	0.062
ENSG00000145882	PCYOX1L	-0.048	0.09	-0.919	-0.408	-0.511
ENSG00000161217	PCYT1A	-0.109	0.021	0.008	0.077	-0.069
